transaction_id,store_id,timestamp,amount,items_count
TXN-0001,store-001,2026-06-01T09:04:45Z,42.50,3
TXN-0002,store-001,2026-06-01T09:22:10Z,18.99,1
TXN-0003,store-001,2026-06-01T10:05:30Z,76.25,5
TXN-0004,store-001,2026-06-01T10:45:00Z,120.00,8
TXN-0005,store-001,2026-06-01T11:30:22Z,9.99,1
TXN-0006,store-001,2026-06-01T12:00:55Z,55.60,4
TXN-0007,store-001,2026-06-01T13:15:40Z,33.10,2
TXN-0008,store-001,2026-06-01T14:02:18Z,88.45,6
TXN-0009,store-001,2026-06-01T15:30:00Z,14.00,1
TXN-0010,store-001,2026-06-01T16:50:05Z,200.00,12
